sourceTypeID,regClassID,beginModelYearID,endModelYearID,rollingTermA,rotatingTermB,dragTermC,sourceMass,fixedMassFactor
11,10,1960,2060,0.0251,0.0,0.000315,0.285,0.285
21,20,1960,2060,0.156461,0.00200193,0.000492646,1.4788,1.4788
31,30,1960,2060,0.22112,0.00283757,0.000698282,1.86686,1.86686
31,41,1960,2009,0.22112,0.00283757,0.000698282,3.40194,2.05979
32,30,1960,2060,0.235008,0.00303859,0.000747753,2.05979,2.05979
32,41,1960,2009,0.235008,0.00303859,0.000747753,3.40194,2.05979
41,41,1960,2009,1.29515,0.0,0.00371491,5.68398,2.05979
41,41,2014,2060,1.23039,0.0,0.00371491,5.68398,5.0
41,42,1960,2009,1.29515,0.0,0.00371491,7.78184,2.05979
41,42,2014,2020,1.23039,0.0,0.00371491,7.78184,5.0
41,42,2021,2023,1.00646,0.0,0.00371491,7.78184,5.0
41,42,2024,2026,0.974469,0.0,0.00371491,7.78184,5.0
41,42,2027,2060,0.926484,0.0,0.00371491,7.78184,5.0
41,46,1960,2009,1.29515,0.0,0.00371491,11.3666,17.1
41,46,2014,2020,1.23039,0.0,0.00371491,11.3666,7.0
41,46,2021,2023,1.00646,0.0,0.00371491,11.3666,7.0
41,46,2024,2026,0.974469,0.0,0.00371491,11.3666,7.0
41,46,2027,2060,0.926484,0.0,0.00371491,11.3666,7.0
41,47,1960,2009,1.29515,0.0,0.00371491,15.6028,17.1
41,47,2014,2020,1.23039,0.0,0.00371491,15.6028,10.0
41,47,2021,2023,1.00646,0.0,0.00371491,15.6028,10.0
41,47,2024,2026,0.974469,0.0,0.00371491,15.6028,10.0
41,47,2027,2060,0.926484,0.0,0.00371491,15.6028,10.0
42,42,1960,2009,1.0944,0.0,0.00358702,7.78184,2.05979
42,42,2014,2020,1.03968,0.0,0.00358702,7.78184,5.0
42,42,2021,2023,1.03968,0.0,0.00358702,7.78184,5.0
42,42,2024,2026,1.03968,0.0,0.00358702,7.78184,5.0
42,42,2027,2060,0.913879,0.0,0.00358702,7.78184,5.0
42,46,1960,2009,1.0944,0.0,0.00358702,11.3666,17.1
42,46,2014,2020,1.03968,0.0,0.00358702,11.3666,7.0
42,46,2021,2023,1.03968,0.0,0.00358702,11.3666,7.0
42,46,2024,2026,1.03968,0.0,0.00358702,11.3666,7.0
42,46,2027,2060,0.913879,0.0,0.00358702,11.3666,7.0
42,47,1960,2009,1.0944,0.0,0.00358702,15.6028,17.1
42,47,2014,2020,1.03968,0.0,0.00358702,15.6028,10.0
42,47,2021,2023,1.03968,0.0,0.00358702,15.6028,10.0
42,47,2024,2026,1.03968,0.0,0.00358702,15.6028,10.0
42,47,2027,2060,0.913879,0.0,0.00358702,15.6028,10.0
42,48,1960,2009,1.0944,0.0,0.00358702,15.6028,17.1
42,48,2014,2020,1.03968,0.0,0.00358702,15.6028,10.0
42,48,2021,2023,1.03968,0.0,0.00358702,15.6028,10.0
42,48,2024,2026,1.03968,0.0,0.00358702,15.6028,10.0
42,48,2027,2060,0.913879,0.0,0.00358702,15.6028,10.0
43,41,1960,2009,0.746718,0.0,0.00217584,5.68398,2.05979
43,41,2014,2060,0.709382,0.0,0.00217584,5.68398,5.0
